density,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10
0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.011,1.0033,1.0,1.0,1.0
0.2143785714285714,2.4819,2.8515,2.8412,2.6289,2.9119,3.0183,2.8265,2.5783000000000005,2.8535000000000004,2.8130000000000006,2.8218
0.4286571428571428,4.591,4.9823,4.2745000000000015,3.8986,4.4866,4.0703,4.1672,4.264799999999998,4.870300000000001,4.339600000000001,4.0322000000000005
0.6429357142857142,6.8977,7.1008,6.2315,6.6647,5.6332,5.0808,5.7911,6.0099,6.374099999999999,5.955799999999999,5.7571
0.8572142857142856,6.5894,7.8336000000000015,6.234400000000001,8.204500000000001,8.0222,7.452000000000001,6.0162,7.258999999999999,6.8688,6.7085,6.543099999999999
1.071492857142857,8.6498,7.1826,7.837399999999999,7.0894,7.8965999999999985,8.3701,6.9682999999999975,7.121500000000001,8.521799999999999,8.3396,7.659799999999999
1.2857714285714283,8.5374,8.454600000000001,8.0548,9.5192,10.592800000000002,7.5482,9.564,8.6494,8.9965,7.2216,8.6872
1.50005,9.4104,12.1244,10.1949,10.918,8.878400000000003,10.8154,8.156699999999999,8.6576,11.750899999999994,8.035699999999999,11.129000000000001
1.7143285714285712,12.2369,10.3583,9.5319,8.490699999999999,8.499600000000001,10.779000000000002,11.1175,10.305500000000002,18.3925,10.2951,9.564300000000001
1.9286071428571423,10.588299999999998,14.6538,12.031399999999998,15.6734,10.2094,10.7473,9.8586,11.3674,12.044499999999998,10.9772,9.4302
2.1428857142857143,14.0419,12.9768,11.4552,11.593699999999998,11.7094,14.4259,13.6584,13.5216,13.849,12.2914,11.352800000000002
2.3571642857142856,12.6218,12.521400000000002,12.5233,10.869899999999998,12.6297,12.08,15.2387,14.0827,11.4646,13.3914,12.4881
2.571442857142857,14.5469,14.333800000000002,11.838200000000002,11.4519,12.7243,11.8615,12.6899,12.9052,14.5461,12.561000000000002,11.3506
2.7857214285714282,14.1408,15.3785,12.8223,13.514,12.8321,13.105699999999995,15.6161,16.712999999999994,16.3967,15.089499999999996,15.9073
3.0,13.3491,14.2781,16.363,15.835,14.6367,16.089499999999994,13.657299999999998,18.7406,14.9765,13.7135,15.245999999999999
3.5,16.3952,16.1175,18.2795,16.4687,17.1961,15.4461,15.9241,15.2387,16.3304,14.463,14.8604
5.125,21.6948,22.1167,22.1182,21.9795,21.6067,21.3106,20.3019,22.1845,21.7528,22.004900000000006,22.247600000000002
6.75,33.3424,27.7166,27.9344,30.2418,28.393999999999995,27.727,27.7153,31.0133,28.2678,28.8583,27.2477
8.375,34.7612,34.6255,34.5935,34.3923,35.3278,37.11680000000001,34.0855,34.2663,35.2078,33.4247,33.864399999999996
10.0,40.9277,41.1336,40.6497,41.8465,41.0418,41.7011,40.0347,41.6584,41.12560000000001,40.5192,40.64940000000001
