k_density,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10,average_11,average_12,average_13,average_14,average_15,average_16,average_17,average_18,average_19,average_20,average_21,average_22,average_23,average_24,average_25,average_26,average_27,average_28,average_29,average_30,average_31,average_32,average_33,average_34,average_35,average_36,average_37,average_38,average_39,average_40,average_41,average_42,average_43,average_44,average_45,average_46,average_47,average_48,average_49,average_50,average_51,average_52,average_53,average_54,average_55,average_56,average_57,average_58,average_59,average_60,average_61,average_62,average_63,average_64,average_65,average_66,average_67,average_68,average_69,average_70,average_71,average_72,average_73,average_74,average_75,average_76,average_77,average_78,average_79,average_80,average_81,average_82,average_83,average_84,average_85,average_86,average_87,average_88,average_89,average_90,average_91,average_92,average_93,average_94,average_95,average_96,average_97,average_98,average_99,average_100
0,0.10804097674806376,0.1019514518143968,0.2457078118392075,0.15228465057519572,0.17532031090216918,0.2224560765474496,0.15559090068508075,0.13589256017201518,0.14398081426738638,0.07670270270813685,0.09286974973844687,0.015096859361871209,0.13610492162100624,0.15538118453677954,0.0442730106969384,0.2498353937092141,0.10524193784550416,0.1360486194541443,0.11802168145446695,0.09197964732537747,0.07763498003473114,0.12576849844383392,0.163263823788096,0.2821575014144151,0.1805512024032193,0.19979121838332006,0.0927675318673708,0.03916795240127096,0.2571162012499296,0.13435903601454074,0.09218853254097636,0.22702561103175264,0.1893175925829373,0.07183196622447269,0.1806809984560264,0.11282525068293188,0.1150381817366254,0.17170054325347084,0.10676766989966367,0.1351091623398032,0.04072571969438697,0.07961092682473435,0.20155282856376536,0.1391161886330955,0.0412700186055832,0.13062818690940686,0.0832552039265199,0.1049270045705943,0.17616871547449406,0.05930635785890152,0.20398993990052186,0.08162931982860125,0.179895311013037,0.14324493598369215,0.0970824047425257,0.06457337988980251,0.1820794994064847,0.21441598359627206,0.1941118406221614,0.1383571372670489,0.21655332687152354,0.2257230068263447,0.09852743107079526,0.13553184151636033,0.4645903618051012,0.16888560232711922,0.06100496803096505,0.17999613269490256,0.08934231011108891,0.11169726031443616,0.1434714182031888,0.06254681130931965,0.11659360301870035,0.2379263523054907,0.04303240711017334,0.15266829282380295,0.22405861136997696,0.1923742076182456,0.12634435647234096,0.12491762377820942,0.11818464372343572,0.12042657453206825,0.23230999165390595,0.2445479342302965,0.07994805804990959,0.19855286371440128,0.3078846774773437,0.16029517660846315,0.09534647597958568,0.13273750976398094,0.13755199418769834,0.06549482257354207,0.2302832839256486,0.056892139782688235,0.19916693803420607,0.1397470146643183,0.1197502571471174,0.17480665990050231,0.15807961358912928,0.10257251742895178,0.13893106351384196
1,0.2758233822691889,0.4922165952837292,0.3359432671198069,0.6638401125774069,0.6234701170712433,0.6487106257393349,0.7107761592143951,0.7217627005341606,0.4775740184522868,0.5639577945292369,0.10063553530618184,0.6808161273387072,0.24006780043511186,0.3150199043605936,0.3230851391652721,0.3701679775390512,0.6483961737978335,0.5778895586850404,0.5629438393499443,0.5068648917446071,0.534300819656914,0.2480127517997724,0.5867150348186787,0.41488528304046735,0.5470624230817639,0.5682692926445587,0.059051640909560436,0.2450359131346993,0.34895389813838984,0.5359221683824739,0.6586043996548847,0.5153600923141901,0.2392746630058614,0.2825006254360701,0.3336422473009224,0.6629252058470699,0.2733794700779544,0.4535151114848214,0.5938170319395953,0.2841343424024384,0.08917113475810473,0.3370259240147673,0.09511128644711442,0.3478250420017727,0.3808377523933042,0.2431389388036393,0.4888685751877848,0.3213743274674086,0.1538152715261218,0.4950645361625624,0.4482949346847132,0.2513010055077624,0.535749772745041,0.1780922989509859,0.6084599389359755,0.6119492934092559,0.4263831133731846,0.6104433757156701,0.12088665541716705,0.4760412997610941,0.4952148638843922,0.5018977613761694,0.63328254941522,0.4020700987657875,0.1501287714042462,0.35434046245664136,0.3040327774141422,0.557429989474693,0.5417265453072716,0.3745761190700967,0.31913172918215865,0.7707148764675698,0.4295241501212697,0.27187378104687915,0.31069365657594705,0.4289499782310766,0.5633853998800025,0.25258170365187205,0.4799965400163887,0.3923264468731553,0.5365575038237286,0.2562501373539872,0.7161532238634486,0.7673109985269612,0.16760274650107493,0.4203075538342387,0.6970223628964016,0.4541578229362078,0.4663492566543929,0.5656772534168403,0.37311059506462096,0.4853728142308855,0.6693365321179049,0.7451814890063811,0.7592482548015677,0.3303035520975624,0.7217459288267305,0.11613363227314638,0.6230267809627047,0.12785585745892375,0.06796988808378038
2,0.7517011292206053,0.6982277571687568,0.8088073870106258,0.7474025418211179,0.748265101095922,0.7481400971219218,0.5011834446528767,0.7186111030543527,0.7014794730924224,0.7199730694635934,0.7707949468603319,0.6405676165075447,0.7514003461446316,0.8576726350533449,0.7164045995250714,0.7339745126920382,0.6771191269944666,0.7917368196407542,0.6962549960410754,0.7119583913158074,0.7167238208881789,0.690106759171373,0.6644831223241433,0.422343600494046,0.7630994693208089,0.7272705729281496,0.7533946335974633,0.7412106527631095,0.7303978308136152,0.763652810992558,0.7899939521894566,0.7478053936293375,0.7203861677293782,0.8492364921055152,0.820497430678529,0.7468687362103154,0.7472946556194929,0.7429761885547379,0.7538974177759186,0.8102701825395308,0.6378535562936841,0.5992930552662632,0.6616561648005304,0.7846038842248312,0.6892129990110091,0.7757703403719478,0.8365703835150371,0.7497148714245052,0.4381893210326525,0.8543992044194672,0.6297266305590246,0.7429924063396449,0.7800404660433221,0.7501131595873076,0.7109434662123233,0.7669658462310487,0.6285798386333984,0.7202547320630766,0.7840830751526531,0.5105340167858522,0.7338473281174354,0.7093660153218707,0.6764547690506576,0.7862671191242588,0.7627220106549958,0.7352975823273782,0.7880158736634403,0.7618190302894182,0.7810809754340584,0.7842970773727184,0.7694012446473282,0.8166057028376176,0.6788701806994495,0.7101943419302807,0.6546707963005844,0.6896512901781001,0.712259510041015,0.6744382470816574,0.8079275521600255,0.6960477377322111,0.7529925351421557,0.8065298956082916,0.7022684854861362,0.7700404699953027,0.7303291337846095,0.5792361576963416,0.8446069169646234,0.6860668260931168,0.7129874397389205,0.7281729440315652,0.6889357067516908,0.7146793691620786,0.7230967829877376,0.7148991953594647,0.7377201370961605,0.7651623326285035,0.732675462039956,0.7794428427763663,0.820541472654519,0.7797370052654483,0.7908501032482829
3,0.7606063638125315,0.8009687864526492,0.7671137916227568,0.7967999923705161,0.7552772588225721,0.8421956725150644,0.7695271323826931,0.7563439750036026,0.775808607829676,0.8084231390776745,0.8223866748203306,0.7434266582737871,0.7694645719296067,0.7866406475844424,0.7891838831525908,0.7639267602092522,0.7943409844366875,0.8063155237222942,0.7381339773770588,0.7874849610151823,0.8300541192630747,0.7743185920398205,0.8032818687520611,0.8086683936216081,0.7691963046208361,0.8419173479600117,0.7572677654855862,0.7812464662615279,0.7402619768065469,0.7966433165225081,0.7922701977356512,0.8056123826031946,0.7964520342357166,0.8008860499379196,0.7307244528702981,0.7172059342063604,0.7147435466107022,0.7867395228955828,0.860474585958223,0.7797389380211489,0.7361137625465137,0.8311173870354872,0.8344316801890687,0.8208717810972065,0.8307076766776045,0.7885357285509002,0.7992822332672229,0.8098956712528043,0.7561754586006386,0.7786166740940291,0.7466720100422092,0.7148585766608749,0.791945818523248,0.7977634754750259,0.7889985764194571,0.7596309330062614,0.7440475380578486,0.7798928281936004,0.8264656239167782,0.8543034633672354,0.7113175297950669,0.7810165426849958,0.7662079301598356,0.8154679412353325,0.7830552575421115,0.7747804595965742,0.7886756939789515,0.7111849408077033,0.7286661300536993,0.8851433888014223,0.8163730295117607,0.7736138502973763,0.8693204618496887,0.7880143628750218,0.8228568835413916,0.8632424522826933,0.8351621395233707,0.8407459007623487,0.7940809933822213,0.8164211074055568,0.7889101668279285,0.7273513085544429,0.8411851146451665,0.8336160239209041,0.6664808875781111,0.7529710436383331,0.776474904599091,0.7589063419864249,0.7757339207003239,0.839304472603345,0.8026392980250133,0.8028007615735256,0.7417069862837924,0.8406624388129204,0.7798055735212093,0.7841802769618403,0.7440006292453056,0.6802082101762739,0.7992933978107901,0.7339273629086059,0.7893345976656675
4,0.7078264616350838,0.7756128983971855,0.7821099422124875,0.788728353093348,0.7639903144062467,0.8033097979226962,0.6631985927556933,0.8217507834283849,0.8190934456450891,0.7953982198017112,0.7845048853131171,0.7788417869217429,0.7889034397533777,0.731400869716066,0.7237032002289026,0.7900939171632699,0.8493793463455814,0.780932428304261,0.7777221260964916,0.8146062922397957,0.7975903758376687,0.8348619126368203,0.8230993921290132,0.7955545430737703,0.7386347182624062,0.8468017110218253,0.8349848223949317,0.7563370189079941,0.7587372306928419,0.8046133150399326,0.7749025072819453,0.8335212666970699,0.8445497483140375,0.8289147293154159,0.7392792859958182,0.837811736695487,0.8133495082923647,0.8524952232302745,0.8332806878160429,0.8342080852307837,0.8020200466003564,0.8124132970848603,0.7595039620549955,0.7965977451005911,0.8339799411445211,0.8004588716717035,0.766625250178096,0.8117927078548905,0.8469314349290343,0.8145858805835932,0.8276604416641415,0.8444768891757771,0.8393842031004852,0.7567716356676972,0.8398219553850977,0.7517591396475855,0.8244262458092286,0.7931950646767926,0.8501498524742546,0.8450415419722814,0.8290605666948804,0.7660031654497867,0.8319392548376601,0.8178703493923783,0.8060224287645049,0.8021439046726763,0.7858374456468978,0.8398393554172584,0.7988971708160756,0.819846896335478,0.7791209702287683,0.8925211347805136,0.7751481105203262,0.8418813851047432,0.8219766048132449,0.7222909066893924,0.8248376799789252,0.7384584488164923,0.910392707989952,0.790181661260306,0.8857703322069338,0.8097272092762727,0.8137464007592887,0.8481926269928928,0.8488858961358644,0.7661665058936503,0.8071747112073182,0.7938652982688077,0.8042473942010991,0.7961039414852679,0.8008896640071506,0.7766729795337822,0.8186857673377879,0.7965500125269906,0.8420496614627325,0.7956599360950581,0.8046446977466731,0.8174028095793109,0.7748098331012965,0.7912030327492313,0.8067525207235398
5,0.7938231472386724,0.7774982426743172,0.8403680996919431,0.795517022366659,0.7824404985303263,0.7934561299652259,0.7934823566625149,0.8313409818755113,0.7950198726398539,0.8190853792230822,0.7819255311117806,0.7597372441848692,0.8035604391831294,0.7777636663434548,0.8301838980587173,0.8376358144811247,0.8363862051297716,0.8273961259998682,0.8090199986604288,0.8443708113650402,0.7451241204837638,0.8290514706155622,0.7969502180072056,0.8284182437390422,0.8428161750874326,0.7849454320180548,0.8143383741335312,0.7814089701494903,0.8004654679006007,0.8201576171745504,0.8153216975181657,0.8332700031387026,0.8171790870953204,0.8241879000105189,0.8344332819343531,0.8429620109120989,0.7740796081716715,0.8149457325517641,0.8452975198123868,0.8079686203478125,0.8252532327903497,0.7789898735624117,0.7281319913514042,0.7931756981116874,0.7147445683370971,0.8317698004046142,0.8114289420832385,0.8155190410747303,0.7943355832712653,0.8151952133763035,0.8010807284533237,0.8380141936116104,0.7927719096025185,0.8293020584270873,0.8385385944871618,0.8509567062406672,0.7432211761253269,0.8386860761032167,0.7060958713173652,0.8237791090911615,0.8876768035025071,0.8387173234773196,0.8283159903710217,0.8295705915271677,0.7762356695524314,0.7656810262089709,0.7936557661960838,0.7650731148651597,0.8026177598259232,0.7966192201439988,0.8003966628826881,0.8412647491472409,0.7518794706733889,0.8685255725687273,0.829612300341082,0.7723432025655803,0.8386857168384765,0.8451703856781538,0.7680321124596203,0.8253101563112234,0.7823348387877865,0.7698374915907871,0.8218284088468093,0.8601095169107222,0.7946581757467637,0.7169817492043226,0.8421139167727681,0.7831906441529708,0.7696725576357318,0.7851095534927655,0.8383663749060467,0.8500890842863922,0.8427570147607814,0.7421254900611698,0.8200082317462465,0.8074729336875845,0.8187295579155591,0.8226405708049779,0.7988210385957959,0.8243536779961441,0.8427581839238195
6,0.7851454181012847,0.7746556519656448,0.8095438380959643,0.8189884485006441,0.7545484827662292,0.8095255013100222,0.8482395904180035,0.7968284622140409,0.793868472402228,0.8345051172293403,0.7849522958583359,0.8219276074573261,0.7654470420574092,0.7850111156728202,0.7990586112038746,0.7930814632241154,0.8747686373836098,0.8703244507720386,0.7906333185984028,0.8220622028618608,0.8386494086729183,0.8339238130892566,0.8037323401239609,0.7913735432182779,0.813775934305221,0.7990374301184608,0.8329803136080424,0.7994977190562863,0.8203371284822967,0.7537492854557781,0.8512930047725269,0.8511533710191684,0.7921493650265167,0.8231922677605857,0.8478911233309471,0.8347124329390655,0.7849061124299891,0.8437856184172082,0.8066340082171667,0.8764848493037397,0.8326741269996671,0.8683273612650009,0.8341803987051494,0.7939423807484232,0.8253374289185902,0.7773342696803736,0.8129334783943586,0.8243717908715144,0.7847002307220724,0.8237336430714128,0.8759008097028667,0.8369700718303527,0.8624217966612256,0.7815924306497537,0.827102230015614,0.8088881173835072,0.8213673887231688,0.7933122759382372,0.8522049762291035,0.8328531369373677,0.8229287770450491,0.8350642237546924,0.8841067713444998,0.8475075035988785,0.8174131054829358,0.8488313375956618,0.790202100360973,0.8428595281012032,0.8337534151468117,0.7872625773070163,0.8265923458028009,0.8088002389024996,0.7873407103866715,0.8270860842091948,0.8843551182717524,0.8355381054939991,0.8361121910607091,0.8075475834026965,0.8331250674118708,0.8622920191503671,0.8503494430994636,0.8484681129415315,0.8008927061378243,0.8394455643954508,0.8397237818620408,0.8592646517253911,0.7553979921996425,0.8509466596720311,0.8136685572204579,0.7900726195986445,0.8031648369751861,0.8404285636365391,0.8384871075274001,0.8547654114693851,0.8251231732900696,0.8707724893134555,0.8555323397427591,0.8277977171571539,0.8576627419949688,0.8284368907935782,0.8531162220968992
7,0.8352313939902035,0.8339257788280383,0.8239712369572311,0.8162130093908742,0.8782324060321888,0.8167426543580117,0.8174997168265318,0.8516762033964063,0.8018676848349185,0.8618122148518745,0.8274826923342323,0.8238360587305785,0.833609728886263,0.8641973584825327,0.8538475420559496,0.8282533098631533,0.8174908645040228,0.8183781080057444,0.8666656669101759,0.8273993952387468,0.8119958438480374,0.8598390179228578,0.8313226032508254,0.8093361124123181,0.8523218841424998,0.8071087038160415,0.8015461315080806,0.8557268787398453,0.8387257661930331,0.7965453721666789,0.8143958961723669,0.8439191913585509,0.8412628642454343,0.7967107017656438,0.8264191747411436,0.8232853383079711,0.8464102545407525,0.7850520478584755,0.8414662539747784,0.7677292066757208,0.8309362348939401,0.8082097181608806,0.8307432907687523,0.7783758737204008,0.8278029727513274,0.8231171469407427,0.8078022492945871,0.8101556858633705,0.8232805872524168,0.8236608811683832,0.896437964390399,0.8619635013129379,0.8771586266386671,0.8203689297422484,0.8719335931506249,0.8018389895106723,0.8124949164948692,0.8051036514384915,0.8539656190361391,0.8090645673988315,0.8758046905594692,0.8935256799011326,0.8170922202862279,0.8175519125328145,0.8134482009940475,0.8007675318183115,0.7898325211564088,0.7641653387487827,0.8464788213141338,0.8496779062521523,0.8488555650733692,0.8662247868578963,0.8388757217031629,0.8541459919547415,0.8568653006552378,0.8413183741797934,0.7877205623204941,0.7811083428389655,0.8208860967812436,0.8326802930967008,0.8273753760663889,0.7856342187535198,0.8024245006477442,0.8013239941780149,0.8215248962588014,0.7890144616770648,0.8210933920374652,0.8043231679240318,0.8394552709331223,0.7996780022754639,0.8589984001099186,0.8634182621101434,0.854701131714955,0.8063189015155733,0.8004060596115302,0.8464871862445036,0.7739158542912743,0.8222571469936577,0.8395794264584494,0.8132302395962726,0.8651108524334986
8,0.8311625527309338,0.8361440313947193,0.8734768231002581,0.8649922402680207,0.8283867372808761,0.8492534385530337,0.8101821878836265,0.8862746575777792,0.8462070183422034,0.8038359538794574,0.8647272420934816,0.8364966034256266,0.7958943217530509,0.8937571820372597,0.8382820158439902,0.8868663617832357,0.8709786191742881,0.8464480861505322,0.8209461921149765,0.8416995914152093,0.7588978524053699,0.8394749824868033,0.8269281767241081,0.8970877915042518,0.8640445134642314,0.8570449505400616,0.8098236356546643,0.8439300626831999,0.8118303046551071,0.8421194745176376,0.8509071808692337,0.8209088265843802,0.8649078086876341,0.8472695847622592,0.8831712730926499,0.8650921822626557,0.7886495232588921,0.7962386643070443,0.8377734102683182,0.8457999390681374,0.8444479309292552,0.7994766827426275,0.8728033111818251,0.8214725803111028,0.7671364395020412,0.8173635384752213,0.832572717161486,0.7872802027290511,0.8364160806846874,0.7998484238757542,0.8154261952176709,0.8499493475039989,0.8238564448435383,0.8429560512973051,0.8225189254421345,0.7870086301883141,0.8030406204601049,0.8831999501844899,0.8331552702910255,0.8390268592688628,0.8291650743867481,0.7984440950986377,0.8332812829093901,0.7693401297492909,0.7629876361719291,0.8544203594552482,0.8408081853948652,0.7966889955622067,0.7627690017192946,0.8306972338309557,0.8115737908318251,0.7678069661768762,0.8008512120864711,0.8476051725518641,0.8064156816802275,0.8371249238513595,0.7886376886921848,0.8255287299954864,0.8439357632474177,0.8044336004555545,0.8058362301322741,0.8281433806561667,0.7730100957465691,0.8138632380103061,0.7992916870783179,0.8610047150001856,0.8138098560712278,0.854757867081922,0.8624914974912641,0.7949993757549603,0.8440033913143721,0.7817999995772108,0.7958926730785264,0.8512432429949541,0.8462978352662573,0.8497167069696279,0.8233357671703669,0.8434886270945241,0.7810610096141647,0.8204803145687019,0.826000772435583
9,0.8437332235494285,0.7984218513809938,0.8161871934497417,0.8425404828259218,0.8322783593363938,0.8478604419981082,0.8195063830315219,0.8353331187368387,0.8398936165972581,0.7932256363556447,0.8169675371165201,0.7857143699639842,0.8390879929879117,0.8096344753140708,0.8772439668734596,0.8170688679337232,0.7811810165710119,0.8332966150595814,0.8286747465886688,0.8481426538252044,0.8037497133173435,0.8254983068331587,0.8683634725007312,0.7730190305471851,0.8307157227020714,0.8293133084192841,0.8106959218950319,0.8340121908763625,0.8308519341474987,0.8059772568688687,0.8431054716009774,0.8647220715014997,0.8269669890782168,0.8479759861402127,0.7833450625574843,0.8135896224898947,0.8310108069034771,0.8292965211357842,0.8726865366133251,0.8319521815117091,0.8434705903074343,0.8362399624194613,0.807179129349097,0.8644640862970393,0.8382244330044931,0.847897116270612,0.8120350465377268,0.8485975967597934,0.8503427392205193,0.8374919822361513,0.8037034567225441,0.8236875088066696,0.8149063608924288,0.7927239275389182,0.8602889516827855,0.8286849679030035,0.8277000712586984,0.8036445906264931,0.8272092690391281,0.8219191142277575,0.841465087472782,0.7918769696906495,0.8501798133507967,0.8405672201206605,0.8391710900226108,0.8277823372921366,0.8598388331809815,0.8804563009001525,0.8267035109468194,0.8314122756411167,0.8258030470043687,0.8658441351042133,0.7696918253199793,0.8603765092870819,0.8342055096789632,0.8067853947665075,0.7994339518262732,0.8271323688819832,0.8335099587979897,0.8121918032686382,0.8283461508745396,0.8528560818631675,0.8017324914745896,0.8685521510113189,0.8100812430646657,0.8510283055704065,0.7854091886454899,0.787614370334531,0.8000926404821428,0.827381212666603,0.8034315534184809,0.8271358065532831,0.8138312061439404,0.8315169635274722,0.8369528680634981,0.8625045374449565,0.8419303983174008,0.8661363976980437,0.8204436625136041,0.8118716383702287,0.7843413830730515
