density,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.2143785714285714,5.85,5.85,4.65,4.55,4.6,4.65,4.65,4.65,4.7,4.75,4.85,4.85,4.75,4.75,4.75,4.7,4.8,4.7,4.65,4.65,4.6,4.55,4.55,4.55,4.5,4.55,4.55,4.5,4.5,4.5,4.5,4.5,4.6,4.65,4.6,4.55,4.6,4.55,4.55,4.6,4.6,4.6,4.55,4.45,4.6,4.6,4.55,4.5,4.4,4.55,4.5,4.35,4.35,4.4,4.35,4.4,4.35,4.4,4.45,4.35,4.4,4.4,4.4,4.35,4.35,4.4,4.3,4.3,4.3,4.3,4.35,4.4,4.4,4.45,4.5,4.5,4.55,4.55,4.6,4.65,4.65,4.6,4.6,4.75,4.9,4.8,4.85,4.85,4.85,4.85,4.95,5.1,5.25,5.2,5.45,5.35,5.4,5.4,5.35,5.3,5.35,5.25
0.4286571428571428,5.25,5.2,6.4,6.4,6.3,6.4,6.4,6.45,6.5,6.35,6.35,6.35,6.25,6.05,6.15,6.1,6.1,5.8,5.8,5.75,5.85,5.85,5.8,5.85,5.8,5.7,5.75,5.65,5.7,5.7,5.75,5.8,5.75,5.65,5.6,5.7,5.65,5.7,5.5,5.6,5.5,5.55,5.45,5.6,5.6,5.55,5.55,5.45,5.4,5.25,5.25,5.2,5.2,5.35,5.5,5.5,5.45,5.35,5.35,5.3,5.3,5.35,5.3,5.4,5.4,5.4,5.4,5.45,5.4,5.3,5.45,5.5,5.55,5.6,5.6,5.5,5.45,5.3,5.3,5.35,5.25,5.2,5.2,5.25,5.25,5.3,5.25,5.4,5.3,5.3,5.3,5.3,5.25,5.15,5.2,5.15,5.15,5.2,5.15,5.05,5.0,5.0
0.6429357142857142,6.3,6.3,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.9,5.95,5.9,5.95,5.95,5.95,5.95,5.95,5.9,5.9,5.95,5.95,5.95,6.0,6.05,6.05,5.95,5.95,5.9,6.0,5.95,6.0,6.05,5.95,5.95,6.0,5.85,5.9,5.95,5.8,5.95,5.95,5.75,5.7,5.7,5.55,5.6,5.6,5.7,5.65,5.65,5.55,5.55,5.5,5.5,5.65,5.6,5.6,5.7,5.75,5.7,5.65,5.7,5.75,5.75,5.7,5.75,5.85,5.75,5.75,5.8,5.85,5.7,5.7,5.65,5.7,5.7,5.8,5.9,5.95,5.95,5.9,5.75,5.7,5.75,5.65,5.6,5.55,5.55,5.5,5.5,5.5,5.5,5.5,5.45,5.55,5.55,5.75,5.55,5.6,5.6,5.6,5.55
0.8572142857142856,8.6,8.55,6.9,6.8,6.85,6.75,6.85,6.85,6.9,6.9,6.9,6.85,6.85,6.9,6.95,6.9,6.9,6.95,7.0,6.95,7.1,7.05,7.1,7.05,7.15,7.1,7.15,7.2,7.1,7.1,7.1,7.1,7.05,7.15,7.1,7.05,7.0,7.0,6.95,6.95,7.05,7.1,7.1,7.1,7.15,7.15,7.2,7.15,7.25,7.25,7.25,7.2,7.25,7.2,7.2,7.25,7.2,7.15,7.25,7.25,7.35,7.4,7.35,7.2,7.05,7.1,7.15,7.2,7.2,7.1,7.15,7.25,7.25,7.3,7.25,7.3,7.4,7.45,7.45,7.45,7.5,7.6,7.6,7.45,7.5,7.55,7.55,7.45,7.45,7.4,7.4,7.4,7.4,7.45,7.5,7.25,7.25,7.2,7.1,7.1,7.0,7.0
1.071492857142857,6.25,6.25,7.45,7.35,7.35,7.4,7.45,7.45,7.4,7.4,7.45,7.5,7.45,7.45,7.35,7.45,7.45,7.4,7.5,7.55,7.5,7.5,7.6,7.7,7.65,7.65,7.6,7.7,7.8,7.7,7.7,7.75,7.7,7.75,7.7,7.75,7.75,7.7,7.7,7.65,7.65,7.65,7.75,7.6,7.65,7.55,7.55,7.7,7.65,7.6,7.6,7.75,7.7,7.75,7.7,7.65,7.6,7.6,7.5,7.5,7.55,7.45,7.4,7.5,7.6,7.55,7.6,7.7,7.85,7.8,7.55,7.6,7.5,7.75,7.7,7.75,7.65,7.65,7.7,7.7,7.65,7.8,7.7,7.75,7.8,7.7,7.65,7.8,7.95,7.9,7.9,8.05,7.95,7.95,7.95,8.05,7.95,7.9,7.85,7.85,7.85,7.95
1.2857714285714283,9.1,8.85,8.55,8.55,8.7,8.6,8.75,8.7,8.65,8.85,8.85,9.0,9.05,8.95,9.0,9.0,9.1,9.1,9.1,9.15,9.15,9.15,9.2,9.3,9.3,9.2,9.0,8.95,9.0,8.8,8.8,8.7,8.85,8.7,8.6,8.6,8.7,8.8,8.7,8.7,8.65,8.7,8.7,8.75,8.7,8.5,8.7,8.8,8.85,8.8,8.85,8.8,8.85,8.8,8.85,8.8,8.9,8.85,8.85,8.75,8.65,8.65,8.7,8.5,8.55,8.45,8.45,8.4,8.35,8.45,8.3,8.3,8.35,8.45,8.4,8.35,8.5,8.5,8.3,8.3,8.3,8.3,8.3,8.25,8.2,8.3,8.3,8.3,8.35,8.3,8.25,8.3,8.35,8.4,8.45,8.3,8.3,8.3,8.2,8.3,8.25,8.35
1.7143285714285712,9.4,9.5,8.15,8.1,8.0,8.0,8.0,8.05,8.05,7.95,7.95,7.95,7.9,7.85,7.95,7.9,7.9,8.0,8.1,8.0,7.9,7.9,7.95,8.05,8.05,7.95,7.9,7.8,7.75,7.85,7.85,7.8,7.9,7.85,8.05,8.0,7.9,7.9,7.9,7.8,7.75,7.9,7.9,7.9,8.0,7.9,8.0,7.95,8.0,8.05,8.05,8.05,7.9,7.8,7.9,8.1,8.15,8.2,8.15,8.2,8.2,8.25,8.3,8.15,8.2,8.15,8.15,8.15,8.35,8.35,8.4,8.4,8.35,8.5,8.4,8.25,8.3,8.5,8.6,8.6,8.6,8.65,8.65,8.6,8.75,8.8,8.85,8.9,9.05,9.0,8.9,8.85,8.9,8.75,8.7,8.6,8.55,8.6,8.7,8.65,8.7,8.7
2.1428857142857143,8.75,8.85,9.1,9.0,8.9,8.9,8.95,8.95,8.9,9.0,8.95,9.05,8.85,8.9,9.0,9.15,9.0,9.1,9.1,9.05,9.1,9.05,9.1,9.0,9.0,8.9,9.1,9.0,9.0,9.1,9.05,9.0,9.05,8.95,9.0,9.05,9.15,9.25,9.2,9.2,9.3,9.3,9.25,9.3,9.35,9.25,9.25,9.35,9.4,9.4,9.4,9.4,9.35,9.45,9.45,9.4,9.35,9.45,9.5,9.5,9.65,9.65,9.65,9.6,9.6,9.6,9.65,9.55,9.65,9.6,9.6,9.6,9.65,9.6,9.5,9.55,9.5,9.45,9.35,9.3,9.45,9.45,9.4,9.35,9.45,9.45,9.35,9.25,9.3,9.3,9.4,9.35,9.3,9.35,9.3,9.45,9.25,9.1,9.0,9.1,9.2,9.15
2.3571642857142856,10.45,10.4,11.9,12.05,12.0,12.1,11.9,11.95,11.8,11.75,11.9,11.8,12.0,11.85,11.7,11.85,11.9,11.85,11.75,11.85,12.0,11.8,11.85,11.8,11.55,11.6,11.7,11.6,11.65,11.7,11.7,11.6,11.7,11.6,11.6,11.5,11.55,11.65,11.7,11.8,11.85,11.8,11.8,11.75,11.75,11.75,11.85,11.95,11.9,11.7,11.75,11.7,11.75,11.7,11.7,11.5,11.5,11.5,11.65,11.65,11.65,11.65,11.75,11.85,11.85,11.8,11.85,11.85,12.0,12.0,11.85,11.75,11.75,11.55,11.6,11.5,11.65,11.6,11.65,11.65,11.7,11.9,11.65,11.7,11.85,11.8,11.75,11.7,11.8,11.85,11.5,11.6,11.5,11.65,11.7,11.65,11.7,11.65,11.65,11.7,11.65,11.55
